,id,full_name,day,airline,destination,dest_region,dest_size,boarding_area,dept_time,wait_min,cleanliness,safety,satisfaction,survey_response
153,1103,Dr. Fulton Turner,Tuesday,SOUTHWEST,SAN DIEGO,West US,    Medium,Gates 20-39,12/31/2018,120,Clean,Very safe,Very satisfied,it was horrible
154,2053,Dr. Maggie Cortez,Friday,UNITED,NEWARK,East US,Hub,Gates 70-90,12/31/2018,90,Average,Somewhat safe,Neutral,Terrible
155,2353,Ramona Wade,Wednesday,UNITED,AUSTIN,Midwest US,Medium,Gates 70-90,12/31/2018,150,Clean,Very safe,Somewhat satsified,It was substandard
156,3048,Dr. Lynn Thomas,Sunday,PHILIPPINE AIRLINES,MANILA,Asia,Medium,Gates 1-12,1/1/2018,215,Somewhat clean,Very safe,Somewhat satsified,I did not enjoy the flight
157,2143,Aquila Graham,Wednesday,FRONTIER,DENVER,West US,Hub,Gates 20-39,12/31/2018,123,Clean,Very safe,Somewhat satsified,The airport personnell forgot to alert us of depature times and we missed our flight
158,1113,Gareth Marks,Thursday,DELTA,MINNEAPOLIS-ST. PAUL,Midwest US,Hub,Gates 40-48,12/31/2018,120,Clean,Very safe,Very satisfied,The food in the airport was really really expensive so we were unable to feed our three screaming brats
159,1303,Dolan Wolf,Tuesday,UNITED INTL,LONDON HEATHROW,Europe,Hub,Gates 91-102,12/31/2018,140,Clean,Very safe,Neutral,One of the other travelers was really loud and I was not able to get any rest before my big presentation and I was hung over as all get out
160,1261,Julie Coffey,Thursday,CHINA EASTERN,SHANGHAI,Asia,Hub,Gates 1-12,12/31/2018,195,Clean,Very safe,Somewhat satsified,It was terrible
161,9004,Emerson Hatfield,Friday,AIR CANADA,VANCOUVER,Canada/Mexico,Medium,Gates 91-102,12/31/2018,335,Clean,Very safe,Very satisfied,I didn't like the flight
162,1913,Claire Rios,Saturday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,12/31/2018,215,Clean,Very safe,Somewhat satsified,I hate this
163,3035,Christian Doyle,Tuesday,UNITED,PORTLAND,West US,Medium,Gates 70-90,12/31/2018,216,Somewhat clean,Somewhat safe,Somewhat satsified,Not a fan
164,1542,Haley Oliver,Thursday,DELTA,NEW YORK-JFK,East US,Hub,Gates 40-48,12/31/2018,105,Somewhat clean,Very safe,Somewhat satsified,Bad
165,2352,Rigel Day,Tuesday,DELTA,MINNEAPOLIS-ST. PAUL,Midwest US,Hub,Gates 40-48,12/31/2018,155,Clean,Very safe,Somewhat satsified,Horrible
166,801,Clare Gould,Sunday,ALASKA,BALTIMORE,East US,Medium,Gates 50-59,12/31/2018,155,Clean,Very safe,Very satisfied,Very poor
167,529,Ms. Keiko Mcfarland,Thursday,EMIRATES,DUBAI,Middle East,Hub,Gates 1-12,12/31/2018,240,Somewhat dirty,Somewhat safe,Neutral,Unacceptable flight
168,3107,Duncan Chandler,Tuesday,UNITED,SPOKANE,West US,Small,Gates 70-90,12/31/2018,247,Clean,Very safe,Very satisfied,It was awful
169,1785,Penelope Stark,Saturday,UNITED,RALEIGH-DURHAM,EAST US,    Medium,Gates 70-90,12/31/2018,130,Average,Neutral,Neutral,My fllight was really unpleasant
170,202,Kasper Shields,Wednesday,AMERICAN,LOS ANGELES,West US,Hub,Gates 50-59,12/31/2018,85,Somewhat clean,Somewhat safe,Somewhat satsified,I am not a fan
171,883,Dr. Rose Fleming,Tuesday,ALASKA,SEATTLE,West US,Hub,Gates 50-59,12/31/2018,145,Average,Very safe,Neutral,I had a bad flight
172,3142,Miss Petra Mitchell,Thursday,DELTA,SALT LAKE CITY,West US,Medium,Gates 40-48,12/31/2018,45,Somewhat clean,Very safe,Somewhat satsified,It was very bad
173,3157,Ms. Regan Lynch,Tuesday,UNITED,SAN DIEGO,West US,Medium,Gates 60-69,12/31/2018,135,Somewhat clean,Very safe,Neutral,it was horrible
174,1894,Keane Bennett,Monday,LUFTHANSA,MUNICH,Europe,Hub,Gates 91-102,12/31/2018,235,Somewhat clean,Very safe,Somewhat satsified,Terrible
175,458,Nash Head,Sunday,UNITED,DALLAS-FT. WORTH,Midwest US,Hub,Gates 60-69,12/31/2018,250,Somewhat clean,Somewhat safe,Very satisfied,It was substandard
176,2020,Ainsley Riley,Friday,BRITISH AIRWAYS,LONDON HEATHROW,eur,    Hub,Gates 1-12,12/31/2018,105,Somewhat clean,Neutral,Neutral,I did not enjoy the flight
177,312,Kirestin Newton,Thursday,UNITED,SAN DIEGO,West US,Medium,Gates 70-90,12/31/2018,182,Somewhat clean,Very safe,Very satisfied,The airport personnell forgot to alert us of depature times and we missed our flight
178,2903,Jakeem Hall,Friday,TURKISH AIRLINES,ISTANBUL,middle east,Hub     ,Gates 91-102,12/31/2018,195,Clean,Very safe,Very satisfied,The food in the airport was really really expensive so we were unable to feed our three screaming brats
179,2108,Reece Mitchell,Friday,JETBLUE,LONG BEACH,West US,Small,Gates 1-12,12/31/2018,119,Somewhat clean,Very safe,Somewhat satsified,One of the other travelers was really loud and I was not able to get any rest before my big presentation and I was hung over as all get out
180,339,Wanda Walls,Wednesday,SOUTHWEST,PHOENIX,West US,Hub,Gates 20-39,12/31/2018,180,Average,Neutral,Neutral,It was terrible
181,2938,Barry Mccray,Friday,TURKISH AIRLINES,ISTANBUL,Middle East,Hub,Gates 91-102,12/31/2018,135,Average,Neutral,Neutral,I didn't like the flight
182,1396,Dr. Zahir Hardin,Tuesday,UNITED INTL,SHANGHAI,Asia,Hub,Gates 91-102,12/31/2018,295,Somewhat clean,Very safe,Neutral,I hate this
183,1843,Graiden Cox,Wednesday,SOUTHWEST,SAN DIEGO,West US,Medium,Gates 20-39,12/31/2018,55,Average,Somewhat safe,Somewhat satsified,Not a fan
184,3038,Miss Lara Green,Tuesday,UNITED,PORTLAND,West US,Medium,Gates 70-90,12/31/2018,362,Somewhat clean,Somewhat safe,Somewhat satsified,Bad
185,1482,Felix Bell,Wednesday,FRONTIER,DENVER,West US,Hub,Gates 20-39,1/1/2018,179,Somewhat clean,Very safe,Somewhat satsified,Horrible
186,2670,Mr. Addison Day,Tuesday,SOUTHWEST,DENVER,West US,Hub     ,Gates 20-39,12/31/2018,260,Average,Very safe,Somewhat satsified,Very poor
187,756,Tallulah Guzman,Sunday,ALASKA,NEW YORK-JFK,East US,Hub,Gates 50-59,12/31/2018,125,Clean,Very safe,Somewhat satsified,Unacceptable flight
188,2128,Jocelyn Guzman,Wednesday,FRONTIER,DENVER,West US,Hub     ,Gates 20-39,12/31/2018,243,Clean,Very safe,Somewhat satsified,It was awful
189,1514,Ivory Miller,Wednesday,INTERJET,GUADALAJARA,Canada/Mexico,Medium     ,Gates 1-12,12/31/2018,105,Somewhat clean,Very safe,Somewhat satsified,My fllight was really unpleasant
190,2481,Mr. Eaton Vazquez,Friday,UNITED,CHICAGO-O'HARE,Midwest US,Hub,Gates 60-69,12/31/2018,89,Average,Somewhat safe,Neutral,I am not a fan
191,1150,Silas Clemons,Tuesday,SOUTHWEST,SAN DIEGO,West US,Medium,Gates 20-39,12/31/2018,50,Clean,Very safe,Very satisfied,I had a bad flight
192,1105,Quinn Barry,Thursday,DELTA,MINNEAPOLIS-ST. PAUL,Midwest US,Hub,Gates 40-48,12/31/2018,105,Somewhat clean,Neutral,Somewhat satsified,It was very bad
193,2945,Orson Pratt,Wednesday,SOUTHWEST,LOS ANGELES,West US,Hub,Gates 20-39,12/31/2018,65,Somewhat clean,Somewhat safe,Somewhat satsified,it was horrible
194,261,Constance Morse,Friday,AIR CANADA,TORONTO,Canada/Mexico,Hub,Gates 91-102,12/31/2018,115,Clean,Very safe,Somewhat satsified,Terrible
195,819,Ms. Vanna Rivera,Sunday,ALASKA,PORTLAND,West US,    Medium,Gates 50-59,12/31/2018,80,Somewhat clean,Neutral,Neutral,It was substandard
196,2924,Miss Venus Lowe,Friday,TURKISH AIRLINES,ISTANBUL,Middle East,Hub,Gates 91-102,12/31/2018,205,Somewhat clean,Somewhat safe,Somewhat satsified,I did not enjoy the flight
197,2245,Amethyst Nieves,Thursday,SOUTHWEST,PHOENIX,West US,Hub,Gates 20-39,12/31/2018,140,Average,Somewhat safe,Somewhat satsified,The airport personnell forgot to alert us of depature times and we missed our flight
198,238,Miss Vivian Foreman,Wednesday,AMERICAN,LOS ANGELES,West US,Hub,Gates 50-59,12/31/2018,115,Somewhat clean,Very safe,Somewhat satsified,The food in the airport was really really expensive so we were unable to feed our three screaming brats
199,1077,Miss Wendy Griffin,Friday,AIR CANADA,CALGARY,Canada/Mexico,Medium,Gates 91-102,12/31/2018,385,Somewhat clean,Somewhat safe,Neutral,One of the other travelers was really loud and I was not able to get any rest before my big presentation and I was hung over as all get out
